Date,Time,Time(s),O2 Charge
2019-05-22,21:48:00,19732,-1.93165
2019-05-22,21:48:10,19742,-2.18279
2019-05-22,21:48:20,19752,-2.0983
2019-05-22,21:48:30,19762,-1.96478
2019-05-22,21:48:40,19772,-2.01672
2019-05-22,21:48:50,19782,-2.00997
2019-05-22,21:49:01,19793,-2.04925
2019-05-22,21:49:11,19803,-1.9278
2019-05-22,21:49:21,19813,-2.05897
2019-05-22,21:49:31,19823,-1.92639
2019-05-22,21:49:41,19833,-1.89235
2019-05-22,21:49:51,19843,-1.83804
2019-05-22,21:50:01,19853,-2.01381
2019-05-22,21:50:11,19863,-2.00997
2019-05-22,21:50:21,19873,-1.96772
2019-05-22,21:50:31,19883,-1.83804
2019-05-22,21:50:41,19893,-1.97156
2019-05-22,21:50:51,19903,-1.88028
2019-05-22,21:51:01,19913,-1.84331
2019-05-22,21:51:11,19923,-1.75649
2019-05-22,21:51:21,19933,-1.96241
2019-05-22,21:51:31,19943,-1.88556
2019-05-22,21:51:41,19953,-1.7905
2019-05-22,21:51:51,19963,-1.66906
2019-05-22,21:52:01,19973,-1.79342
2019-05-22,21:52:11,19983,-1.76856
2019-05-22,21:52:21,19993,-1.80106
2019-05-22,21:52:31,20003,-1.80398
2019-05-22,21:52:41,20013,-1.74825
2019-05-22,21:52:51,20023,-1.68407
2019-05-22,21:53:01,20033,-1.76173
2019-05-22,21:53:11,20043,-1.71949
2019-05-22,21:53:21,20053,-1.54232
2019-05-22,21:53:31,20063,-1.67432
2019-05-22,21:53:41,20073,-1.672
2019-05-22,21:53:51,20083,--
2019-05-22,21:54:13,20105,--
2019-05-22,21:54:13,20105,-4.2733
2019-05-22,21:54:24,20116,-4.24006
2019-05-22,21:54:33,20125,-4.16347
2019-05-22,21:54:44,20136,-4.24194
2019-05-22,21:54:54,20146,-4.20682
2019-05-22,21:55:04,20156,-4.19475
2019-05-22,21:55:14,20166,-4.20333
2019-05-22,21:55:24,20176,-4.28782
2019-05-22,21:55:34,20186,-4.24202
2019-05-22,21:55:44,20196,-4.14901
2019-05-22,21:55:54,20206,-4.19977
2019-05-22,21:56:04,20216,-4.15753
2019-05-22,21:56:14,20226,-4.19977
2019-05-22,21:56:24,20236,-4.18921
2019-05-22,21:56:34,20246,-4.2063
2019-05-22,21:56:44,20256,-4.15753
2019-05-22,21:56:54,20266,-4.28217
2019-05-22,21:57:04,20276,-4.15135
2019-05-22,21:57:14,20286,-4.1484
2019-05-22,21:57:24,20296,-4.1484
2019-05-22,21:57:34,20306,-4.1936
2019-05-22,21:57:44,20316,-4.1856
2019-05-22,21:57:54,20326,-4.07893
2019-05-22,21:58:04,20336,-4.1091
